"Station 
Code","Name Of Monitoring 
Location",State_Name,Temperature,,"Dissolved 
Oxygen 
(mg/L)",,pH,,Conductivity,,BOD,,Nitrate,,Fecal_Coliform,,Total_Coliform,,"Fecal 
Streptococci 
(MPN/100mL)",,DO,Fecal_Streptococci,Target
30043,"RIVER 
TAPI 
AT 
AJNAD, 
(MAHARASHTRA)",MAHARASHTRA,23.0,23,5.8,5.8,8.5,8.5,463.0,463,3.8,3.8,4.08,4.08,10.0,10,225.0,225,6,6,0.0,0.0,Moderate
1251,"RIVER 
TAPI 
AT 
U/S, 
BHUSAWAL,VILLAGE. 
BHUSAWAL 
RAILWAY 
COLONY, 
TALUKA. 
BHUSAWAL, 
DISTRICT. 
JALGAON.",MAHARASHTRA,20.0,29,5.5,5.9,7.2,8,395.0,784,3.2,3.6,0.0,2.04,4.0,11,43.0,79,0,0,0.0,0.0,Moderate
1313,"RIVER 
TAPI 
AT 
AJNAD 
VILLAGE,  VILLAGE.AJNAD 
, 
TALUKA. 
RAVER, 
DISTRICT.JALGAON.",MAHARASHTRA,20.0,29,5.4,6,7.2,8.1,387.0,788,3.0,4,0.0,2.04,4.0,11,43.0,79,0,0,0.0,0.0,Moderate
1314,"RIVER 
TAPI 
AT 
UBAD 
VILLAGE 
NEAR 
GUJRATBORDER,  VILLAGE. 
UBAD,  TALUKA.  SHAHADA, 
DISTRICT. NANDURBAR.",MAHARASHTRA,16.0,26,5.4,6.2,7.2,8.1,286.0,860,2.2,3.6,0.0,1.86,4.0,11,43.0,70,0,0,0.0,0.0,Clean
2666,"RIVER GOMAI  D/S. OF 
SHAHADA, 
VILLAGE- 
SHAHADA,TALUKA- 
DHULE,DISTRICT- 
DHULE.",MAHARASHTRA,14.0,25,5.3,6,7.4,7.7,405.0,804,3.2,3.8,0.0,5.58,4.0,11,46.0,79,0,0,0.0,0.0,Moderate
2659,"RIVER BURAI  BEFORE 
CONFLUENCE TO TAPI 
RIVER, 
VILLAGE- 
MUKUDAS, 
TALUKA- 
DHULE,",MAHARASHTRA,20.0,20,6,6.1,7.6,7.7,389.0,404,3.2,3.4,0.0,0.57,4.0,4,42.0,43,0,0,0.0,0.0,Moderate
1252,"RIVER 
GIRNA 
AT 
JALGAON  AT 
INTAKE 
OF 
GIRNA 
PUMP 
HUOSE, 
VILLAGE- 
GIRNA  PUMP  HOUSE 
AREA, 
TALUKA- 
JALGAON, 
DISTRICT- 
JALGAON.",MAHARASHTRA,20.0,24,5.3,6,7.3,7.7,415.0,812,3.0,3.8,0.0,5.23,4.0,4,43.0,46,0,0,0.0,0.0,Moderate
1253,"RIVER 
GIRNA 
AT 
MALEGAON 
ROAD 
BRIDGE, 
VILLAGE. 
MALEGAON,  TALUKA. 
MALEGAON, 
DISTRICT. NASHIK.",MAHARASHTRA,17.0,27,4.6,6,7.2,7.9,234.0,1068,3.2,4.8,0.0,2.71,4.0,6,43.0,63,0,0,0.0,0.0,Moderate
1907,"RIVER 
 
RANGAVALI  
AT  D/S  OF  NAVAPUR 
NEAR 
RANGAVALI 
BRIDGE, 
VILLAGE- 
NAVAPUR, 
TALUKA- 
NAVAPUR,  DISTRICT- 
NANDURBAR.",MAHARASHTRA,20.0,26,5.2,5.9,7.3,7.9,371.0,4750,2.8,4,0.0,5.39,4.0,6,43.0,63,0,0,0.0,0.0,Clean
2658,"RIVER  BORI 
  D/S  OF 
AMALNER, 
VILLAGE- 
AMALNER, 
TALUKA- 
JALGAON, 
DISTRICT- 
JALGAON.",MAHARASHTRA,23.0,24,5.1,5.8,7.6,7.9,414.0,747,3.4,4,0.0,3.8,4.0,6,43.0,63,0,0,0.0,0.0,Moderate
